Step,Action,Success,Coverage,Transport Rate,Finished
1,"['Explore()', 'Explore()']","[True, True]",0.0,0.06666666666666667,False
2,"['NavigateTo(ReservoirUtah)', 'NavigateTo(ReservoirYork)']","[True, True]",0.3333333333333333,0.2,False
3,"['NavigateTo(ReservoirYork)', 'NavigateTo(ReservoirUtah)']","[True, True]",0.3333333333333333,0.2,False
5,"['NavigateTo(GreatFire_Region_1)', 'NavigateTo(LostPersonTimmy)']","[True, True]",1.0,0.4666666666666667,False
6,"['NavigateTo(LostPersonTimmy)', 'NoOp()']","[True, True]",1.0,0.4666666666666667,False
7,"['NavigateTo(ReservoirUtah)', 'Explore()']","[True, False]",1.0,0.4666666666666667,False
8,"['GetSupply(ReservoirUtah)', 'NavigateTo(DepositFacility)']","[True, True]",1.0,0.5333333333333333,False
9,"['NavigateTo(ReservoirYork)', 'Explore()']","[True, True]",1.0,0.5333333333333333,False
10,"['NavigateTo(ReservoirYork)', 'NavigateTo(LostPersonTimmy)']","[True, True]",1.0,0.5333333333333333,False
11,"['NavigateTo(ReservoirYork)', 'Explore()']","[True, True]",1.0,0.5333333333333333,False
