"Step","Agent","PromptTokens","CompletionTokens","TotalTokens","CacheHitTokens","CacheMissTokens","RunID","LLMLatencyMs","Model","PromptVersion","Status"
"0","Coordinator","3558","43","3601","3328","230","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"0","Coordinator","3645","272","3917","3456","189","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"0","Coordinator","4035","122","4157","3456","579","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"0","Bob","1867","68","1935","1536","331","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"0","Coordinator","4231","206","4437","3712","519","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"0","Alice","1866","60","1926","1536","330","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"1","Alice","2374","144","2518","1792","582","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"1","Bob","2378","304","2682","1792","586","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"2","Bob","2455","184","2639","1792","663","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"3","Coordinator","4927","387","5314","3968","959","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"3","Bob","2536","206","2742","1792","744","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"4","Coordinator","5050","161","5211","4224","826","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"4","Bob","2635","250","2885","1792","843","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"5","Bob","2724","292","3016","1920","804","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"6","Bob","2823","284","3107","2048","775","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"7","Bob","2857","415","3272","1792","1065","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"8","Bob","2862","161","3023","1792","1070","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"9","Bob","2877","535","3412","1792","1085","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"10","Bob","2877","341","3218","1792","1085","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"11","Bob","2884","292","3176","1792","1092","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"12","Bob","2852","195","3047","1792","1060","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"13","Bob","2829","501","3330","1792","1037","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"14","Bob","2829","376","3205","1792","1037","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"15","Bob","2811","252","3063","1792","1019","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"16","Bob","2821","568","3389","1792","1029","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"17","Bob","2822","288","3110","1792","1030","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"18","Bob","2832","283","3115","1792","1040","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"19","Bob","2834","225","3059","1792","1042","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"20","Bob","2840","516","3356","1792","1048","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"21","Bob","2848","245","3093","1792","1056","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"22","Bob","2849","471","3320","1792","1057","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"23","Coordinator","5561","683","6244","4352","1209","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"23","Coordinator","6161","124","6285","4864","1297","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"23","Coordinator","6307","418","6725","5504","803","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"23","Coordinator","6689","121","6810","5632","1057","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"23","Coordinator","6965","163","7128","6016","949","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"23","Alice","2317","194","2511","1536","781","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"23","Bob","2319","146","2465","1536","783","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"24","Alice","2391","165","2556","1664","727","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"24","Bob","2377","366","2743","1664","713","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"25","Alice","2460","61","2521","1664","796","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"25","Bob","2439","85","2524","1664","775","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"26","Bob","2501","122","2623","1792","709","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"26","Alice","2531","331","2862","1792","739","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"27","Alice","2604","130","2734","1792","812","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"27","Bob","2563","203","2766","1792","771","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"28","Bob","2625","201","2826","1792","833","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"28","Alice","2674","341","3015","1920","754","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"29","Bob","2687","134","2821","1920","767","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"29","Alice","2740","187","2927","1920","820","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"30","Bob","2704","117","2821","1664","1040","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"30","Alice","2740","326","3066","1664","1076","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"31","Bob","2704","154","2858","1792","912","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"32","Alice","2714","132","2846","1664","1050","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"32","Bob","2704","113","2817","1792","912","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"33","Bob","2704","169","2873","1664","1040","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"33","Alice","2721","268","2989","1664","1057","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"34","Alice","2723","105","2828","1664","1059","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"34","Bob","2704","238","2942","1664","1040","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"35","Alice","2731","119","2850","1664","1067","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"35","Bob","2711","147","2858","1664","1047","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"36","Bob","2706","132","2838","1920","786","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"36","Alice","2730","207","2937","1664","1066","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"37","Alice","2696","79","2775","1664","1032","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"37","Bob","2720","159","2879","1792","928","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"38","Bob","2735","124","2859","1792","943","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"38","Alice","2775","392","3167","2048","727","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"39","Bob","2750","246","2996","1664","1086","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"39","Alice","2778","668","3446","1664","1114","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"40","Alice","2767","381","3148","1664","1103","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"40","Bob","2767","486","3253","1664","1103","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"41","Alice","2772","111","2883","1664","1108","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"41","Bob","2775","308","3083","1664","1111","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"42","Bob","2784","125","2909","1664","1120","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"42","Alice","2781","1078","3859","1664","1117","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"43","Alice","2787","122","2909","1664","1123","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"43","Bob","2777","517","3294","1664","1113","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"44","Alice","2769","278","3047","1664","1105","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"44","Bob","2778","451","3229","1664","1114","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"45","Bob","2808","198","3006","1664","1144","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"45","Alice","2777","194","2971","1664","1113","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"46","Bob","2805","200","3005","1664","1141","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"46","Alice","2789","639","3428","1664","1125","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"47","Alice","2803","152","2955","1664","1139","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"47","Bob","2807","261","3068","1664","1143","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"48","Bob","2822","340","3162","1664","1158","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"48","Alice","2813","773","3586","1664","1149","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"49","Alice","2830","99","2929","1664","1166","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
"49","Bob","2839","260","3099","1664","1175","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","0.0","deepseek-v4-flash","baseline","ok"
