"Step","Actions","Successes","Observations","Coverage","TransportRate","Finished","TimeoutAgents","NoOpSource","RunID","MaxSteps","RemainingSteps","WallTimeSinceStart","StepDurationMs","ErrorTypes","CompletedSubtasksDelta","EndReason"
"1","['NoOp', 'RotateLeft']","[True, True]","['Action NoOp succeeded.', 'Action RotateLeft succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","49","8.008525848388672","509.9960220977664","[]","[]","max_steps_reached"
"2","['Done', 'RotateRight']","[True, True]","['Action Done succeeded.', 'Action RotateRight succeeded.']","0.0","0.0","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","48","10.011959791183472","136.18113193660975","[]","[]","max_steps_reached"
"3","['NoOp', 'MoveAhead']","[True, True]","['Action NoOp succeeded.', 'Action MoveAhead succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","47","12.015137910842896","117.39841103553772","[]","[]","max_steps_reached"
"4","['NoOp', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, False]","['Action NoOp succeeded.', 'Action OpenObject(Fridge_1) failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","46","12.015137910842896","106.85001593083143","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.OpenObject (System.String objectId, System.Single openness, System.Boolean forceAction, System.Boolean returnToStart, System.Boolean ignoreAgentInTransition, System.Boolean stopAtNonStaticCol, System.Nullable`1[T] physicsInterval, System.Boolean useGripper, System.Nullable`1[T] moveMagnitude) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"5","['NoOp', 'MoveAhead']","[True, False]","['Action NoOp succeeded.', 'Action MoveAhead failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","45","14.020889520645142","116.54679663479328","['StandardCounterHeightWidth is blocking Agent 1 from moving by (-0.2500, 0.0000, 0.0000).']","[]","max_steps_reached"
"6","['NoOp', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, False]","['Action NoOp succeeded.', 'Action OpenObject(Fridge_1) failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","44","16.023432731628418","129.39105089753866","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.OpenObject (System.String objectId, System.Single openness, System.Boolean forceAction, System.Boolean returnToStart, System.Boolean ignoreAgentInTransition, System.Boolean stopAtNonStaticCol, System.Nullable`1[T] physicsInterval, System.Boolean useGripper, System.Nullable`1[T] moveMagnitude) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"7","['NoOp', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, False]","['Action NoOp succeeded.', 'Action OpenObject(Fridge_1) failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","43","18.02699589729309","119.32886857539415","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.OpenObject (System.String objectId, System.Single openness, System.Boolean forceAction, System.Boolean returnToStart, System.Boolean ignoreAgentInTransition, System.Boolean stopAtNonStaticCol, System.Nullable`1[T] physicsInterval, System.Boolean useGripper, System.Nullable`1[T] moveMagnitude) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"8","['NoOp', 'RotateLeft']","[True, True]","['Action NoOp succeeded.', 'Action RotateLeft succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","42","22.033453226089478","142.46220514178276","[]","[]","max_steps_reached"
"9","['NoOp', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, False]","['Action NoOp succeeded.', 'Action OpenObject(Fridge_1) failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","41","22.033453226089478","125.29601249843836","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.OpenObject (System.String objectId, System.Single openness, System.Boolean forceAction, System.Boolean returnToStart, System.Boolean ignoreAgentInTransition, System.Boolean stopAtNonStaticCol, System.Nullable`1[T] physicsInterval, System.Boolean useGripper, System.Nullable`1[T] moveMagnitude) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"10","['NoOp', 'MoveAhead']","[True, True]","['Action NoOp succeeded.', 'Action MoveAhead succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","40","26.04067325592041","144.86789051443338","[]","[]","max_steps_reached"
