"Step","Agent","PromptTokens","CompletionTokens","TotalTokens","CacheHitTokens","CacheMissTokens","RunID","LLMLatencyMs","Model","PromptVersion","Status"
"0","Coordinator","3558","64","3622","0","3558","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"0","Coordinator","3638","424","4062","3456","182","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"0","Coordinator","3979","316","4295","3456","523","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"0","Coordinator","4281","225","4506","3712","569","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"0","Coordinator","4563","145","4708","3968","595","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"0","Bob","1880","77","1957","0","1880","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"0","Alice","1880","100","1980","0","1880","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"1","Alice","2394","252","2646","1792","602","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"1","Bob","2393","260","2653","1792","601","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"2","Bob","2513","129","2642","1792","721","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"2","Alice","2519","319","2838","1792","727","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"3","Alice","2598","66","2664","1792","806","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"3","Bob","2591","76","2667","1792","799","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"4","Alice","2667","127","2794","1920","747","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"4","Bob","2670","172","2842","1920","750","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"5","Bob","2747","142","2889","1920","827","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"5","Alice","2732","337","3069","1920","812","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"6","Alice","2804","230","3034","2048","756","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"6","Bob","2829","402","3231","2048","781","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"7","Alice","2802","153","2955","1792","1010","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
"7","Bob","2836","424","3260","1792","1044","ai2thor-3_transport_groceries-agents2-seed42-91141069","0.0","deepseek-v4-flash","baseline","ok"
